year,starters
1896,45
1897,32
1898,35
1899,32
1900,23
1901,39
1902,50
1903,51
1904,64
1905,63
1906,71
1907,56
1908,90
1909,105
1910,145
1911,120
1912,NA
1913,NA
1914,153
1919,77
1920,93
1921,130
1922,148
1923,225
1924,145
1925,126
1926,147
1927,123
1928,89
1929,86
1930,86
1931,102
1932,129
1933,129
1934,120
1935,160
1936,155
1937,159
1938,171
1939,171
1943,120
1944,172
1945,100
1946,NA
1947,NA
1948,NA
1949,217
1950,231
1951,202
1952,NA
1953,NA
1954,NA
1955,158
1956,NA
1957,NA
1958,NA
1959,NA
1960,156
1961,NA
1962,NA
1963,NA
1964,137
1965,NA
1966,134
1967,NA
1968,136
1969,154
1970,155
1971,135
1972,160
1973,138
1974,154
1975,158
1976,154
1977,149
1978,141
1979,173
1980,164
1981,174
1982,182
1983,193
1984,158
1985,172
1986,179
1987,192
1988,194
1989,169
1990,186
1991,196
1992,151
1993,137
1994,191
1995,178
1996,184
1997,177
1998,192
1999,183
2000,178
2001,190
2002,190
2003,190
2004,177
2005,191
2006,186
2007,187
2008,198
2009,187
2010,193
2011,187
2012,196
2013,198
2014,199
2015,200
2016,168